StackNumber,Protons,PX,PY,PZ,P2P3,P12,PE,SlotOrien,SlotSpin,Tcount,CanBind,h6,ep5,ps5,h4,ep3,ps3,h2,ep1,ps1,h1,ep2,ps2,h3,ep4,ps4,h5,ep6,ps6,h7,Cfhole,Hloc,h6x,h6y,h6z,p5x,p5y,p5z,h4x,h4y,h4z,p3x,p3y,p3z,h2x,h2y,h2z,p1x,p1y,p1z,h1x,h1y,h1z,p2x,p2y,p2z,h3x,h3y,h3z,p4x,p4y,p4z,h5x,h5y,h5z,p6x,p6y,p6z,h7x,h7y,h7z,Neutrons,N1N2,N1,N2,N3,N4,N5,N6,n1x,n1y,n1z,n2x,n2y,n2z,n3x,n3y,n3z,n4x,n4y,n4z,n5x,n5y,n5z,n6x,n6y,n6z,Electrons,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,e5x,e5y,e5z,e6x,e6y,e6z,,,,,,,,,,,,,,,
1,1,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,,,,,T,L,b,,,,,,,,,,b,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,1,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,,,,t,B,R,,,,,,,,,,,t,h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
3,1,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,,,,,T,R,b,,,,,,,,,,b,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
4,1,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,,,,t,B,L,,,,,,,,,,,t,h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
5,2,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,,,,,T,L,,T,L,b,,,,,,,b,h3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
6,2,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,,,,t,B,R,,B,R,,,,,,,,t,h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
7,2,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,,,,,T,R,,T,R,b,,,,,,,b,h3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
8,2,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,,,,t,B,L,,B,L,,,,,,,,t,h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,2,0,0,0,0.3,0.295,0.0648,Z,A,1,Y,,,,,,,,T,L,bt,B,R,,,,,,,,bt1,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,A,0.045,0,0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10,2,0,0,0,0.3,0.295,0.0648,Z,V,1,Y,,,,,,,,T,R,bt,B,L,,,,,,,,bt1,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,V,0.045,0,0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11,2,0,0,0,0.3,0.295,0.0648,Z,E,1,Y,,,,,,,,T,R,bt,B,R,,,,,,,,bt1,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,E,0.045,0,0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
12,2,0,0,0,0.3,0.295,0.0648,Z,W,1,Y,,,,,,,,T,L,bt,B,L,,,,,,,,bt1,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,W,0.045,0,0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
13,2,0,0,0,0.3,0.295,0.0648,Z,M,1,Y,,,,,,,t,B,L,,T,L,b,,,,,,,tb23,h23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1.5,0,0,0,0,0,-1.5,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,M,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
14,2,0,0,0,0.3,0.295,0.0648,Z,N,1,Y,,,,,,,t,B,R,,T,R,b,,,,,,,tb23,h23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1.5,0,0,0,0,0,-1.5,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,N,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
15,2,0,0,0,0.3,0.295,0.0648,Z,P,1,Y,,,,,,,t,B,L,,T,R,b,,,,,,,tb23,h23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1.5,0,0,0,0,0,-1.5,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,P,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16,2,0,0,0,0.3,0.295,0.0648,Z,Q,1,Y,,,,,,,t,B,R,,T,L,b,,,,,,,tb23,h23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1.5,0,0,0,0,0,-1.5,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.45,0,2,0,0,0,0,0.15,0,-0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,Q,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17,3,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,,T,L,,T,L,,T,L,b,,,,,,,b,h3,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,0,0,0,-0.15,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,-0.15,0.15,0,-0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0.045,0,0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18,3,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,t,B,R,,B,R,,B,R,,,,,,,,t,h4,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,0,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
19,3,0,0,0,0.3,0.295,0.0648,Z,R,0,Y,,,,,T,R,,T,R,,T,R,b,,,,,,,b,h3,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,0,0,0,-0.15,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,-0.15,0.15,0,-0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,T,0.045,0,0.0648,0.045,0,0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20,3,0,0,0,0.3,0.295,0.0648,Z,L,0,Y,,,,t,B,L,,B,L,,B,L,,,,,,,,t,h4,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,0,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,B,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,-0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,3,0,0,0,0.3,0.295,0.0648,Z,A,1,Y,,,,,T,L,bt,B,R,,B,R,,,,,,,,bt1,h2,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,A,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
22,3,0,0,0,0.3,0.295,0.0648,Z,V,1,Y,,,,,T,R,bt,B,L,,B,L,,,,,,,,bt1,h2,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,V,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
23,3,0,0,0,0.3,0.295,0.0648,Z,E,1,Y,,,,,T,R,bt,B,R,,B,R,,,,,,,,bt1,h2,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,E,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
24,3,0,0,0,0.3,0.295,0.0648,Z,W,1,Y,,,,,T,L,bt,B,L,,B,L,,,,,,,,bt1,h2,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.15,0,0,-0.15,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,W,0.045,0,-0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25,3,0,0,0,0.3,0.295,0.0648,Z,A,2,Y,,,,,T,L,,T,L,bt,B,R,,,,,,,,bt2,h1,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,-0.15,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,-0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,A,0.045,0,0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
26,3,0,0,0,0.3,0.295,0.0648,Z,V,2,Y,,,,,T,R,,T,R,bt,B,L,,,,,,,,bt2,h1,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,-0.15,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,-0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,V,0.045,0,0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
27,3,0,0,0,0.3,0.295,0.0648,Z,E,2,Y,,,,,T,R,,T,R,bt,B,R,,,,,,,,bt2,h1,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,-0.15,0,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.45,2,0,1,0,0,0,0.15,0,-0.15,0.15,0,0.15,0.15,0,-0.15,0,0,0,0,0,0,0,0,0,E,0.045,0,0.0648,0.045,0,-0.0648,0.045,0,0.0648,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
