SlotNumber,Protons,PX,PY,PZ,SlotOrien,Neutrons,NX,NY,NZ,AlphaType,CanBind,AtomicSlotGrp
1,2,0.0,0.0,0.0,True,0,0.0,0.0,0.0,2,False,29
2,2,0.0,0.0,0.7,False,0,0.0,0.0,0.0,2,False,29
3,2,0.0,0.0,-0.7,False,0,0.0,0.0,0.0,2,False,29
4,2,0.0,0.0,1.4,True,0,0.0,0.0,0.0,2,False,29
5,2,0.0,0.0,-1.4,True,0,0.0,0.0,0.0,2,False,29
6,2,0.0,-0.7,0.0,False,0,0.0,0.0,0.0,2,False,29
7,2,0.0,0.7,0.0,False,0,0.0,0.0,0.0,2,False,29
8,2,0.7,0.0,0.0,False,0,0.0,0.0,0.0,2,False,29
9,2,-0.7,0.0,0.0,False,0,0.0,0.0,0.0,2,False,29
10,2,0.0,-1.4,0.0,True,0,0.0,0.0,0.0,2,False,29
11,2,1.4,0.0,0.0,True,0,0.0,0.0,0.0,2,False,29
12,2,0.0,1.4,0.0,True,0,0.0,0.0,0.0,2,False,29
13,2,-1.4,0.0,0.0,True,0,0.0,0.0,0.0,2,False,29
14,1,0.0,0.0,2.1,False,0,0.0,0.0,0.0,1,True,29
15,2,0.0,0.0,-2.1,False,0,0.0,0.0,0.0,2,True,29
16,0,0.0,0.0,0.0,True,0,0.0,0.4,0.7,0,False,29
17,0,0.0,0.0,0.0,True,0,0.0,-0.4,-0.7,0,False,29
18,0,0.0,-0.4,0.7,True,0,0.0,0.0,0.0,0,False,29
19,0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,False,29
